"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu-focal-rax-dfw-0027048694",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","21 Oct 2021 21:58:39 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
21-10 22:07:17,10.760,2.127,85.954,0.250,0,4426268,227956,1182824,1992872,364118.897,8474.771,332.305,724.665,10.009,51.047,2686,3358,1.470,1.720,1.280,1,0,24.022,0,0,27,219,0,9,4
21-10 22:07:18,10.747,2.749,85.473,0.125,0,4422064,232104,1182860,1992892,368246.266,12435.058,0,223.929,0,19.994,2712,3355,1.470,1.720,1.280,1,0,21.993,0,0,27,219,0,9,4
21-10 22:07:19,10.878,2.001,85.148,0.625,0,4425112,229008,1182900,1992900,369090.916,13049.497,4.001,208.056,1.000,15.004,2616,3078,1.470,1.720,1.280,1,0,22.006,0,0,27,219,0,6,4
21-10 22:07:20,11.251,2.375,86.130,0.125,0,4425532,228484,1182932,1992972,366423.253,9656.560,72.004,316.018,11.001,25.001,2691,3337,1.470,1.720,1.280,1,0,21.001,0,0,27,219,0,6,4
21-10 22:07:21,10.630,1.751,85.662,0.500,0.125,4417880,236132,1182944,1992964,362330.338,7187.141,0,3849.682,0,184.080,2687,3021,1.430,1.700,1.280,0,0,25.011,0,0,27,219,0,3,4
21-10 22:07:22,10.623,2.000,85.730,0.625,0,4420712,233224,1182984,1993000,489851.885,16263.178,0,327.923,0,25.994,3111,3754,1.430,1.700,1.280,1,0,32.992,0,0,27,219,0,3,4
21-10 22:07:23,10.126,2.875,86.506,0,0,4426460,227464,1182996,1993000,362462.923,7229.477,0,76.005,0,4.000,2569,3050,1.430,1.700,1.280,1,0,24.002,0,0,27,219,0,3,4
21-10 22:07:24,10.619,2.124,85.077,0.125,0.125,4426828,226992,1183076,1993024,376685.056,20056.768,0,431.758,0,37.979,3000,3843,1.430,1.700,1.280,1,0,20.988,0,0,27,219,0,3,4
21-10 22:07:25,4.753,0.876,92.433,0.876,0,4417708,235960,1183152,1993084,136660.233,13827.725,40.025,324.205,2.001,31.020,2441,3457,1.430,1.700,1.280,0,0,11.007,0,0,27,219,0,2,4
21-10 22:07:26,1.374,0.125,96.038,1.374,0.250,4417916,235732,1183168,1993088,163.852,177.839,0,2989.292,0,389.647,1933,2823,1.310,1.670,1.270,0,0,1.998,0,0,27,219,0,2,4
21-10 22:07:27,8.758,1.877,85.701,2.627,0,4427708,225752,1183248,1993192,377733.917,5675.017,0,832.736,0,57.050,2573,3538,1.310,1.670,1.270,1,0,17.015,0,0,27,219,0,2,4
21-10 22:07:28,10.125,2.000,86.629,0.125,0,4431180,221912,1183332,1993476,395677.618,25838.085,76.003,280.012,19.001,22.001,2775,3594,1.310,1.670,1.270,1,0,21.001,0,0,27,219,0,2,4
21-10 22:07:29,10.991,2.373,85.932,0,0,4435072,201520,1183376,2009932,382672.775,12561.014,2861.725,175.860,67.946,9.992,2755,3108,1.310,1.670,1.270,1,0,24.980,0,0,27,219,0,2,4
21-10 22:07:30,13.637,3.253,81.449,0.626,0.125,4435436,200924,1183444,2010096,383867.016,13574.271,12.011,376.340,3.003,25.023,4547,7091,1.310,1.670,1.270,1,0,66.060,0,0,27,219,0,3,4
21-10 22:07:31,10.988,1.748,86.154,0,0.125,4435484,200320,1183496,2010600,375879.391,5685.638,0,395.557,0,20.977,2587,2997,1.210,1.650,1.270,1,0,23.973,0,0,27,219,0,2,4
21-10 22:07:32,10.996,2.249,85.472,0.500,0,4426788,205352,1183548,2014212,382425.417,12527.853,367.878,339.887,8.997,24.992,2836,3643,1.210,1.650,1.270,1,0,25.991,0,0,27,219,0,2,4
